"image href","img-responsive src","product-name","product-desc","r-number","price","price 2","list-image src","list-image src 2","list-image src 3","list-image src 4","list-image src 5","list-image src 6"
"https://choco-yummy.com.ua/ua/lays-potato-chips-spicy-crayfish-70g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-lays-spicy-crayfish-70g-4-200x200.webp","Гострі Чіпси Lays Spicy Crayfish Раки 70г","Чудова пачка від Lays, коли хочеться чогось нестандартного.На метушливих китайських вуличках ви част..","0.0","219","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-lays-spicy-crayfish-70g-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-lays-spicy-crayfish-70g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-lays-spicy-crayfish-70g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-lays-spicy-crayfish-70g-5-50x50.webp","",""
"https://choco-yummy.com.ua/ua/pringles-enchilada-adobada-potato-158g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_enchilada_adobada_potato_158g_3-200x200.webp","Гострі чіпси Pringles Enchilada Adobada Potato Свинина в соусі чилі 158г","Чіпси Pringles Enchilada Adobada - більше, ніж чіпси. Це - мексиканські пристрасті)Прінглс вирішили ..","0.0","299","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_enchilada_adobada_potato_158g_1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_enchilada_adobada_potato_158g_2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_enchilada_adobada_potato_158g_4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_enchilada_adobada_potato_158g_5-50x50.webp","",""
"https://choco-yummy.com.ua/ua/pringles-hot-smokin-bbq-ribs-160g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_hot_smokin_bbq_ribs_160g_2-200x200.webp","Гострі Чіпси Pringles HOT Smokin' BBQ Ribs Барбекю та Чилі 160г","Є ті, хто залюбки прогулюється фудкортом у пошуках ситного перекусу?) Тоді бігом сюди! Картопляні ск..","0.0","159","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_hot_smokin_bbq_ribs_160g_3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_pringles_hot_smokin_bbq_ribs_160g_1-50x50.webp","","","",""
"https://choco-yummy.com.ua/ua/samyang-buldak-4-cheese-potato-chips-55g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-2-200x200.webp","Гострі чіпси Samyang Buldak 4 Cheese Chips 4 сири 55г","Неповторний баланс між ніжною пікантністю сирів та пекучістю спецій Buldak.Корейські чіпси обсмажені..","0.0","259","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-6-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-buldak-4-cheese-55g-7-50x50.webp"
"https://choco-yummy.com.ua/ua/samyang-buldak-potato-chips-habanero-lime-55g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_1-200x200.webp","Гострі Чіпси Samyang Buldak Potato Chips Habanero Lime Хабанеро і Лайм 55г","Пекельні чіпси! Пакет корейських чіпсів від Samyang для тих, хто не боїться вогню, хоче експерименті..","0.0","259","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_7-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_6-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy_samyang_buldak_habanero_lime_55g_2-50x50.webp"
"https://choco-yummy.com.ua/ua/samyang-buldak-potato-chips-habanero-lime-120g","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-0-200x200.webp","Гострі Чіпси Samyang Buldak Potato Chips Habanero Lime Хабанеро з Лаймом 120г","Гострі чипси Samyang Buldak Potato Chips Habanero Lime — вогняний хрускіт із лаймовою іскроюПривіт, ..","0.0","499","грн.","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Anew/48-65/06-habanero-lime/samyang-buldak-potato-chips-habanero-lime-6-50x50.webp"
"https://choco-yummy.com.ua/ua/samyang-burduck-potato-chips-original-55g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-1-200x200.webp","Гострі чіпси Samyang Burduck Chips Original Чилі 55г","Корейські картопляні чіпси від майстра вогню – Samyang!Корейські чіпси з чудово хрусткою текстурою, ..","0.0","249","грн.","https://choco-yummy.com.ua/image/cache/no_image-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-7-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-samyang-burduck-original-55g-6-50x50.webp"
"https://choco-yummy.com.ua/ua/takis-blue-heat-waves-hot-chili-pepper-lime-chips-226g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-1-200x200.webp","Гострі чіпси Takis Blue Heat Waves Hot Chili & Lime Чилі та Лайм 226г","Виглядають, як спецефекти.Ідеальний формат від Takis для фанатів екстремально гострих снеків, челенд..","0.0","499","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-1-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-2-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/chipsy-takis-blue-heat-waves-hot-chili-pepper-lime-226g-4-50x50.webp",""
"https://choco-yummy.com.ua/ua/spicy-chips-indian-flying-cake-flavor","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-6-200x200.webp","Гострі Чіпси латяо  Spicy Chips Latiao Indian Flying Cake Flavor зі Смаком Тістечка 0.9 кг.","6409, Гострі Чіпси Spicy Chips Indian Flying Cake Flavor зі Смаком Тістечка 0.9 кг., , 1,599 грн., S..","0.0","","","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-7-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/other/1-20/SpicyChips/spicy-chips-indian-flying-cake-flavor-5-50x50.webp"
"https://choco-yummy.com.ua/ua/tohato-demon-king-jolokia-90g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-tohato-demon-king-jolokia-90g-3-200x200.webp","Гострі Японські снеки Tohato Demon King Jolokia 90г","Думаєте, все гостре вже перепробували?)Упаковка японського снеку - це виклик, випробування для сміли..","0.0","299","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-tohato-demon-king-jolokia-90g-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-tohato-demon-king-jolokia-90g-2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-tohato-demon-king-jolokia-90g-1-50x50.webp","","",""
"https://choco-yummy.com.ua/ua/samyang-buldak-2x-spicy-hot-chicken-ramen-140g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-2-200x200.webp","Гостра Локшина Samyang Buldak 2x Spicy Hot Chicken Ramen Булдак Рамен 140г","Найпідступніше в раменах Samyang - вони шалено апетитно пахнуть) Хочеться скуштувати навіть тим, хто..","0.0","199","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-6-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-7-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha-samyang-buldak-2x-spicy-hot-chicken-ramen-140g-1-50x50.webp"
"https://choco-yummy.com.ua/ua/samyang-buldak-habanero-lime-instant-noodles-135g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_habanero_lime_instant_noodles_135g_2-200x200.jpg","Гостра Локшина Samyang Buldak Habanero Lime Flavour Instant Noodles Лайм і Хабанеро 135г","Ваші палкі гарячі серця жадають вогню?) Тоді беріть культовий Samyang - локшину швидкого приготуванн..","0.0","","","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_habanero_lime_instant_noodles_135g_1-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_habanero_lime_instant_noodles_135g_4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_habanero_lime_instant_noodles_135g_3-50x50.jpg","","",""
"https://choco-yummy.com.ua/ua/samyang-buldak-hot-chicken-ramen-stew-145g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_hot_chicken_ramen_stew_145g_1-200x200.jpg","Гостра Локшина Рамен Samyang Buldak Hot Chicken Ramen Stew Курка 145г","Пакет із локшиною Buldak Hot Chicken Ramen Stew - це ще один корейський Рамен із лінійки Samyang.У п..","0.0","149","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_hot_chicken_ramen_stew_145g_2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_hot_chicken_ramen_stew_145g_3-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/lapsha_samyang_buldak_hot_chicken_ramen_stew_145g_4-50x50.jpg","","",""
"https://choco-yummy.com.ua/ua/cheetos-minis-cheese-cheddar-jalapeno-102g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-cheetos-minis-cheese-cheddar-jalapeno-102g-2-200x200.jpg","Гострий Снек Cheetos Minis Cheese Cheddar Jalapeño Чеддер Халапеньо 102г","Легкі, повітряні міні-сніки Cheetos зі смаком сиру чеддер і халапеньйо. Це ті самі ваші улюблені кра..","0.0","299","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-cheetos-minis-cheese-cheddar-jalapeno-102g-3-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-cheetos-minis-cheese-cheddar-jalapeno-102g-4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-cheetos-minis-cheese-cheddar-jalapeno-102g-1-50x50.jpg","","",""
"https://choco-yummy.com.ua/ua/samyang-2x-spicy-zzaldduk-extreme-buldak-halal-80g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/samyang-2x-spicy-zzaldduk-extreme-buldak-halal-80g-3-200x200.jpg","Гострий снек Samyang 2X SPICY Zzaldduk Extreme Buldak HALAL Булдак 80г","Дуже зігріваючий снек!2X гостріше, ніж думаєте! Без паузи зжерти всю порцію неможливо...) У складі -..","0.0","199","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/samyang-2x-spicy-zzaldduk-extreme-buldak-halal-80g-1-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/samyang-2x-spicy-zzaldduk-extreme-buldak-halal-80g-2-50x50.jpg","","","",""
"https://choco-yummy.com.ua/ua/samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-1-200x200.jpg","Гострий снек Samyang x Yanjinpuzi Buldak Da Mowang Konjac Snack 18г","Азіатські міні-снеки.Основа снеку - борошно з рослини конжак (конняку) та соєвий білок.Снеки щедро п..","0.0","49","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-3-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-5-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-6-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Chipsi-i-sneki/snek-samyang-x-yanjinpuzi-buldak-da-mowang-konjac-snack-18g-2-50x50.jpg",""
