"list-image src","list-image src 2","list-image src 3","image href","img-responsive src","product-name","product-desc","r-number","price","price 2","list-image src 4"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/cocacola-vanilla3-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/cocacola-vanilla4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/cocacola-vanilla4-50x50.webp","https://choco-yummy.com.ua/ua/cocacola-vanilla","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/coca-cola-vanilla-1-200x200.webp","Coca-Cola Ваніль","Да-Да-Да, «Вона ж в Атб є»!) ⠀Всі вже напевно бачили на прилавках супермаркетів колу ваніль без..","5.0","69","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/cocacola-vanilla3-50x50.webp"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-pineapple1-50x50.webp","","","https://choco-yummy.com.ua/ua/fanta-pineapple","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-pineapple-200x200.webp","Fanta Ананас","Нова, стильна, яскрава Fanta Ананас в нашому магазині!) Таку ви точно ще не зустрічали! На..","5.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-exotic.-50x50.webp","","","https://choco-yummy.com.ua/ua/fanta-exotic","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-exotic.-200x200.webp","Fanta Екзотик","Ще одна крутєйша Фанта! ⠀FANTA EXZOTIC – улюблена газована вода з оригінальним освіжаючим міксо..","0.0","69","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-lemon-1-50x50.webp","","","https://choco-yummy.com.ua/ua/fanta-lemon","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-lemon-200x200.webp","Fanta Лимон","Гадали Фанта більше нічим не зможе нас здивувати?Як би не так! Адже в лінійці різноманітних смаків з..","0.0","59","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-trawberry1-50x50.webp","","","https://choco-yummy.com.ua/ua/fanta-strawberry","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-strawberry0-200x200.webp","Fanta Полуниця","Стильна і яскрава Fanta Полуниця вже в нашому магазині! Завдяки високій якості цей напій завоюв..","5.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-strawberry-kiwi1-50x50.webp","","","https://choco-yummy.com.ua/ua/fanta-strawberry-kiwi","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/fanta-strawberry-kiwi-200x200.webp","Fanta Полуниця Ківі","Новий смак Fanta Полуниця і Ківі - розширює наш асортимент крутейшого бренду Fanta!)  Ця г..","0.0","59","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-java-salted-caramel-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-java-salted-caramel","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-java-salted-caramel-200x200.webp","Monster Java Salted Caramel USA","Занадто круто, щоб утриматися!) ⠀Monster Energy Java Edition – це абсолютно нова унікальна амер..","0.0","399","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/monster-juice-khaotic-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-juice-khaotic","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/monster-juice-khaotic-200x200.webp","Monster Juice Khaotic","Суміш тропічного апельсинового соку для створення смаку, що краще відчувається, ніж описується.Поєдн..","5.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-mango-loco1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-mango-loco2-50x50.webp","","https://choco-yummy.com.ua/ua/monster-mango-loco","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-mango-loco-200x200.webp","Monster Mango Loco 500мл","Скучили за MONSTER?)  ⠀ MONSTER ENERGY MANGO LOCO – це та сама, небесна суміш екзотичних соків,..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-pipeline-punch-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-pipeline-punch","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-pipeline-punch-200x200.webp","Monster Pipeline Punch 500мл","Величезний вибір монстрів у наявності! ⠀Перенесіться на Гаваї наповнивши себе енергією Монстр!)..","4.0","99","грн.",""
